"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"1984 : regény","Ezerkilencszáznyolcvannégy ; Nineteen Eighty Four. Hungarian","008189935","Monograph","Language material ; Text","Volume","","","9789630748155","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Szíjgyártó, László [person]","","","Hungary","Budapest","Európa Könyvkiadó","1989","","373 pages","","YA.1993.a.6943","Fiction in English--1900---Translations","","Hungarian","",""
"1984 : regény","Ezerkilencszáznyolcvannégy ; Nineteen eighty-four. Hungarian","011892978","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","Serbia and Montenegro","Újvidék","Forum","1986","","245 pages","","YA.1988.a.3728","Fiction in English--1945---Translations","","Hungarian","",""
"1984 : riwāyah","1984 : رواية","017515307","Monograph","Language material ; Text","Volume","","","9789953681443","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; أورويل، جورج [person]","","","Lebanon","Bayrūt ; بيروت","al-Markaz al-Thaqāfī al-ʿArabī ; المركز الثقافي العربي،","2013","Al-Ṭabʿah 3 ; الطبعة الثالثة","351 pages, 21 cm","","YP.2015.a.5533","Totalitarianism--Fiction ; London (England)--Fiction","","Arabic","",""
"1984 : roman","1984 : роман ; 1984. Ukrainian","017538005","Monograph","Language material ; Text","Volume","","","9789662355574","Orwell, George","1903-1950","person","author","Shovkun, Viktor, 1940-, translator [person] ; Orwell, George, 1903-1950, author [person] ; Z︠H︡upansʹkyĭ, Oleksiĭ, 1980-, editor [person]","Maĭstry svitovoï prozy ; Maйстри свiтової прози","","Ukraine","Kyïv ; Київ","Vydavnyt︠s︡tvo Z︠H︡upansʹkoho ; Видавництво Жупанського","2015","","312 pages, 20 cm","","YF.2016.a.3222","English literature--Translations into Ukrainian ; English fiction--Translations into Ukrainian","Translations into Ukrainian","Ukrainian","",""
"1984 : роман","1984 : roman ; 1984. Ukrainian","017538005","Monograph","Language material ; Text","Volume","","","9789662355574","Orwell, George","1903-1950","person","author","Shovkun, Viktor, 1940-, translator [person] ; Orwell, George, 1903-1950, author [person] ; Z︠H︡upansʹkyĭ, Oleksiĭ, 1980-, editor [person]","Maĭstry svitovoï prozy ; Maйстри свiтової прози","","Ukraine","Kyïv ; Київ","Vydavnyt︠s︡tvo Z︠H︡upansʹkoho ; Видавництво Жупанського","2015","","312 pages, 20 cm","","YF.2016.a.3222","English literature--Translations into Ukrainian ; English fiction--Translations into Ukrainian","Translations into Ukrainian","Ukrainian","",""
"1984 : رواية","1984 : riwāyah","017515307","Monograph","Language material ; Text","Volume","","","9789953681443","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; أورويل، جورج [person]","","","Lebanon","Bayrūt ; بيروت","al-Markaz al-Thaqāfī al-ʿArabī ; المركز الثقافي العربي،","2013","Al-Ṭabʿah 3 ; الطبعة الثالثة","351 pages, 21 cm","","YP.2015.a.5533","Totalitarianism--Fiction ; London (England)--Fiction","","Arabic","",""
"1984 et '1984' : les prédictions de George Orwell: où se sont-elles réalisées et comment?","Mil neuf cent quatre vingt quatre","009339657","Monograph","Language material ; Text","Volume","","","","Sturua, Mėlor","","person","","Sturua, Mėlor [person]","","","Russia","Moscou","Novosti","1984","","23 pages","","X.529/73529","Nineteen eighty four ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","French","",""
"1984 now","1984now [text from George Orwell's 1984] : Great again ; Platform ; Temperament ; Topia ; Watching ; Nineteen eighty-fournow","018549702","Monograph","Language material ; Text","Volume","","","","Hanmer, Karen","","person","author","Hanmer, Karen, author [person]","","","United States of America","Glenview, Illinois","Karen Hanmer","2017","","5 volumes, 3 x 5 x 14 cm (flip books), 20 x 15 x 6 cm (box)","","RF.2017.a.91","Artists' books ; Nineteen eighty-four (Orwell, George) ; Artists' books--Illinois ; Orwell, George, 1903-1950","","English","'Flip books: laser and inkjet prints on acid-free cardstock, buckram-wrapped spine. books presented in individual mylar sleeves, set also includes archival corrugated box'--From author's web site ; Limited edition of 40 numbered copies--From author's web site ; Title from label on box",""
"1984 revisited : totalitarianism in our century","","010023740","Monograph","Language material ; Text","Volume","GB8418952","","9780060151584 ; 9780060806606","","","","","Howe, Irving [person]","","","England ; United States of America","London ; New York","Harper & Row","1983","","x, 276 pages, 18 cm","823.912","83/33595 ; X.529/60475","Dystopias in literature ; Fiction in English--Orwell, George--Nineteen eighty-four ; Totalitarianism and literature ; Orwell, George, 1903-1950","","English","",""
"1984 to 1984","Nineteen eighty-four to 1984 : a companion to the classic novel of our times","010394225","Monograph","Language material ; Text","Volume","","","9780881840858","","","","","Orwell, George, 1903-1950 [person] ; Kuppig, C. J. [person]","","","United States of America","New York","Carroll & Graf","1984","","","","86/09710","","","English","",""
"1984","","018427437","Monograph","Language material ; Text","Volume","","","9781786822222","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Marston Book Services ; NewSouth ; Oberon ; Peter Hyde Associates ; Theatre Communications Group Inc,U.S","2017","US edition","96 pages, 21 x 13 cm","","","","","English","paperback",""
"1984","''1984'' : release script","010639150","Monograph","Language material ; Text","Volume","","","","Templeton, William P.","","person","","Templeton, William P. [person] ; Bettinson, Ralph [person] ; Orwell, George, 1903-1950 [person]","","","England","London","Holiday Film Productions","1956","","114 leaves","","Cup.410.c.36","","","English","",""
"1984","1984nen ; Nineteen eighty-four ; 一九八四年","016389392","Monograph","Language material ; Text","Volume","","","","","","","","Yoshida, Kenichi [person] ; 吉田健一 (1912-1977) [person] ; Orwell, George, 1903-1950 [person] ; 龍口直太郎 (1903-1979) [person] ; Tatsunokuchi, Naotarō [person]","","","Japan","","文藝春秋新社","1950","","386 pages, 19 cm","","16290.c.3","","","Japanese","",""
"1984","Animal farm ; Animal farm. Russian ; Ferma zhivotnykh ; Nineteen eighty-four. Russian","006708025","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","Russia","Moskva","","1989","","313 pages","","YA.1996.a.16789","Fiction in English--1945---Translations","","Russian","",""
"1984","Brodie's notes on George Orwell's Nineteen eighty-four ; Nineteen eighty-four","010047804","Monograph","Language material ; Text","Volume","GB9113705","","9780330503013","Brown, G. E. (George Eric)","","person","","Orwell, George, 1903-1950 [person] ; Brown, G. E. (George Eric) [person]","","","England","London","","1990","","80 pages, 20 cm","823.912","YK.1991.a.3374","English fiction ; Orwell, George, 1903-1950","","English","Cover title: 1984 ; Previous edition: 1977",""
"1984","Devatena'ct set osmdesa't čtyři ; Nineteen eighty-four. Czech","011896308","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","Czechoslovakia","Praha","Naše vojsko","1991","","268 pages","","YA.1992.a.4018","Fiction in English--1900-1945--Translations","","Czech","",""
"1984","Ezerkilenszáznyolcvannégy ; Nineteen eighty-four. Hungarian","011896945","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Jotischky, László [person] ; Orwell, George, 1903-1950 [person]","","","England","London","","1984","","301 leaves","","X.955/2260","Fiction in English--1900-1945","","Hungarian","Fully broadcast, in instalments, by the BBC Hungarian Section, from January 1984 to February 1985 ; Typescript",""
"1984","G'org' Orṿel, 1984 ; ג׳ורג׳ אורוול, 4891","013141902","Monograph","Language material ; Text","Volume","","","","Leshem-ʿEzra, Danah","","person","","Leshem-ʿEzra, Danah [person] ; לשם־עזרא, דנה [person]","Sidrah le-viḳoret sifrutit","","Israel","Tel-Aviv ; תל־אביב","Or-ʿam ; אור־עם","1988","","152 pages, 22 cm","","HEC.1989.a.1253","אורוול, ג׳ורג׳, 1903-1950 ; Orwell, George, 1903-1950","","Hebrew","",""
"1984","George Orwell's 1984 ; Nineteen eighty-four","016164206","Monograph","Language material ; Text","Volume","GBB289752","","9780878919963","Brodeur, Karen","","person","","Brodeur, Karen [person] ; Pica, Karen [person]","Maxnotes","","England ; United States of America","Brighton ; Piscataway, New Jersey","Research & Education Association ; Roundhouse","2012","","1 volume, illustrations, 21 cm","823.912","","Orwell, George, 1903-1950","","English","",""
"1984","Nineteen eighty-four ; Ninteen eighty four","018510857","Monograph","Language material ; Text","Online resource","GBB7H2551","","9780718193645 ; 9781783195602","Icke, Robert","","person","","Macmillan, Duncan [person] ; Orwell, George, 1903-1950 [person] ; Icke, Robert [person]","Oberon modern plays","","England","London","Oberon","2013","","1 online resource (170 pages)","822.92","ELD.DS.182838","England--London ; FICTION / Dystopian ; FICTION / Political ; Totalitarianism--Drama ; London (England)--Drama","Drama","English","",""
"1984","Nineteen eighty-four","006455372","Monograph","Language material ; Text","Volume","","","9780436231315","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The complete works of George Orwell","volume 9 [The complete works of George Orwell]","England","London","Secker & Warburg","1997","","340 pages, 24 cm","823.912","98/28229","","","English","'First published in England in 1949 by Martin Secker & Warburg Limited. reprinted 1950 (twice) . Uniform edition first published in England in 1950. reprinted 1951, 1954, 1955 (twice), 1959, 1962, 1970, 1974. Reset 1984. Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t.p. verso",""
"1984","Nineteen eighty-four","010702712","Monograph","Language material ; Text","Volume","GBA363227","","9780582777316","Dean, Michael","1949-","person","","Dean, Michael, 1949- [person] ; Orwell, George, 1903-1950 [person]","Penguin readers. Level 4","","England","Harlow","Pearson","2003","","vii, 71 pages, illustrations, 20 cm","428.6","YK.2003.a.19247","Totalitarianism--Fiction","Dystopia ; Fiction ; Reader","English","",""
"1984","Nineteen eighty-four","016540382","Monograph","Language material ; Text","Volume","GBB619414","","9781783190614","Icke, Robert","","person","author","Orwell, George, 1903-1950 [person] ; Macmillan, Duncan, author [person] ; Icke, Robert, author [person]","Oberon modern plays","","England","London","Oberon","2013","","96 pages, 21 cm","822.92","YC.2015.a.15847","","","English","",""
"1984","Nineteen eighty-four","018636809","Monograph","Language material ; Text","Volume","GBB7N3466","","9781784874155","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Vintage","2018","","325 pages, 23 cm","823.912","Nov.2018/2297","","Humour or satire","English","Originally published: London : Martin Secker & Warburg, 1949",""
"1984","Nineteen eighty-four","018727471","Monograph","Language material ; Text","Online resource","GBB833496","","9781783195602","Icke, Robert","","person","author","Orwell, George, 1903-1950 [person] ; Macmillan, Duncan, author [person] ; Icke, Robert, author [person]","Oberon modern plays","","England","London","Oberon","2014","","1 online resource","822.92","ELD.DS.261334","Dystopian plays ; Totalitarianism ; Totalitarianism--Drama ; DRAMA--English, Irish, Scottish, Welsh","Drama","English","Originally published in 2013; reprinted in 2014",""
"1984","Nineteen eighty-four. Albanian ; Një mijë nëntëqind e tetëdhjetë e katërt","009304672","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Biblioteka Atlas","","Serbia and Montenegro","Prishtinë","Rilindja","1980","","340 pages, 20 cm","","YA.1989.a.3097","","","Albanian","",""
"1984","Nineteen eighty-four. Czech","006708340","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Šimečka, Milan, 1930- [person]","","","Germany","Köln","Index","1984","","324 pages","","X.958/22375","Fiction in English--1900-1945--Texts","","Czech","",""
"1984","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","012559756","Monograph","Language material ; Text","Microfilm ; Microfilm reel","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","","","Poland","Kraków","","1981","","1 microfilm reel, 35 mm","","MIC.A.7999","Fiction in English--1945---Texts","","Polish","Polish second samizdat edition being a reduced facsimile reprinted of the original published in 1979 in Paris by the Instytut Literacki",""
